image_id,dim0,dim1
00006199_010,1024,1024
00003503_000,1024,1024
00017423_004,1024,1024
00022830_001,1024,1024
00016794_000,1024,1024
00010790_035,1024,1024
00015606_039,1024,1024
00005448_001,1024,1024
00025094_000,1024,1024
00001450_000,1024,1024
00001043_004,1024,1024
00001248_017,1024,1024
00004067_000,1024,1024
00014259_001,1024,1024
00011121_000,1024,1024
00016737_004,1024,1024
00001373_009,1024,1024
00022741_000,1024,1024
00003534_036,1024,1024
00019133_000,1024,1024
00006720_006,1024,1024
00002251_003,1024,1024
00012291_012,1024,1024
00004381_015,1024,1024
00018724_019,1024,1024
00002625_003,1024,1024
00008866_005,1024,1024
00025169_001,1024,1024
00002259_000,1024,1024
00004342_008,1024,1024
00013798_007,1024,1024
00019594_027,1024,1024
00009632_000,1024,1024
00026451_019,1024,1024
00013305_006,1024,1024
00001045_003,1024,1024
00016644_000,1024,1024
00009043_000,1024,1024
00014694_000,1024,1024
00011723_001,1024,1024
00019961_004,1024,1024
00019617_001,1024,1024
00011873_008,1024,1024
00010481_017,1024,1024
00012723_000,1024,1024
00027726_057,1024,1024
00016876_000,1024,1024
00018055_032,1024,1024
00026810_024,1024,1024
00013592_003,1024,1024
00006718_000,1024,1024
00008675_005,1024,1024
00010734_000,1024,1024
00011985_008,1024,1024
00022870_007,1024,1024
00006787_000,1024,1024
00018983_002,1024,1024
00012596_000,1024,1024
00015818_001,1024,1024
00002860_024,1024,1024
00003426_034,1024,1024
00011431_000,1024,1024
00022416_068,1024,1024
00016695_000,1024,1024
00001270_005,1024,1024
00007679_010,1024,1024
00027100_000,1024,1024
00010914_009,1024,1024
00008295_012,1024,1024
00027726_003,1024,1024
00003421_007,1024,1024
00018865_036,1024,1024
00001650_011,1024,1024
00017504_012,1024,1024
00010340_001,1024,1024
00001586_000,1024,1024
00018731_001,1024,1024
00013890_007,1024,1024
00002702_001,1024,1024
00014223_009,1024,1024
00024566_000,1024,1024
00008426_001,1024,1024
00003527_013,1024,1024
00016618_008,1024,1024
00028131_008,1024,1024
00028628_019,1024,1024
00012640_015,1024,1024
00011804_012,1024,1024
00017618_019,1024,1024
00018521_011,1024,1024
00021687_002,1024,1024
00012320_004,1024,1024
00029165_008,1024,1024
00008128_000,1024,1024
00017243_000,1024,1024
00003733_001,1024,1024
00010335_000,1024,1024
00022572_049,1024,1024
00022572_045,1024,1024
00025315_000,1024,1024
00009507_008,1024,1024
00010698_030,1024,1024
00009368_008,1024,1024
00006517_003,1024,1024
00004418_002,1024,1024
00012021_053,1024,1024
00019265_003,1024,1024
00003129_000,1024,1024
00021888_000,1024,1024
00010315_004,1024,1024
00014465_002,1024,1024
00002411_013,1024,1024
00016360_000,1024,1024
00013529_000,1024,1024
00016333_005,1024,1024
00013112_001,1024,1024
00011379_028,1024,1024
00006720_005,1024,1024
00021881_000,1024,1024
00007483_000,1024,1024
00010967_011,1024,1024
00019388_001,1024,1024
00024671_000,1024,1024
00008566_009,1024,1024
00020318_004,1024,1024
00020429_001,1024,1024
00013739_003,1024,1024
00016867_005,1024,1024
00015993_000,1024,1024
00018656_003,1024,1024
00007169_003,1024,1024
00016786_001,1024,1024
00000508_000,1024,1024
00025862_001,1024,1024
00001993_000,1024,1024
00009771_000,1024,1024
00011251_010,1024,1024
00023111_009,1024,1024
00028811_007,1024,1024
00028873_001,1024,1024
00001483_023,1024,1024
00012990_001,1024,1024
00002649_013,1024,1024
00025387_002,1024,1024
00005646_019,1024,1024
00020945_023,1024,1024
00021992_000,1024,1024
00000781_006,1024,1024
00015375_004,1024,1024
00002412_000,1024,1024
00010531_069,1024,1024
00017658_000,1024,1024
00012990_002,1024,1024
00026099_009,1024,1024
00019184_002,1024,1024
00026970_002,1024,1024
00017606_032,1024,1024
00026031_003,1024,1024
00016493_003,1024,1024
00007624_020,1024,1024
00012505_005,1024,1024
00006527_001,1024,1024
00015646_000,1024,1024
00002923_000,1024,1024
00010841_009,1024,1024
00007444_003,1024,1024
00001836_048,1024,1024
00029088_004,1024,1024
00006752_006,1024,1024
00028505_012,1024,1024
00010995_001,1024,1024
00007963_002,1024,1024
00014125_014,1024,1024
00020558_000,1024,1024
00007526_022,1024,1024
00012874_002,1024,1024
00027168_000,1024,1024
00029188_000,1024,1024
00003989_024,1024,1024
00028477_000,1024,1024
00017236_084,1024,1024
00016587_055,1024,1024
00023907_000,1024,1024
00015537_007,1024,1024
00017324_006,1024,1024
00010521_002,1024,1024
00021023_011,1024,1024
00012443_000,1024,1024
00016052_021,1024,1024
00013798_000,1024,1024
00019463_000,1024,1024
00021514_000,1024,1024
00021647_000,1024,1024
00021239_010,1024,1024
00028902_001,1024,1024
00003205_002,1024,1024
